10	23.9	0.5	0.2
20	24.1	0.5	0.2
30	24.6	0.5	0.2
40	25.2	0.5	0.2
50	25.9	0.5	0.2
60	26.4	0.5	0.2
70	27	0.5	0.2
80	27.5	0.5	0.2
90	27.8	0.5	0.2
100	28	0.5	0.2
110	28	0.5	0.2
120	27.9	0.5	0.2
130	27.5	0.5	0.2
140	27	0.5	0.2
150	26.5	0.5	0.2
160	26	0.5	0.2
170	25.5	0.5	0.2
180	24.8	0.5	0.2
190	24.4	0.5	0.2
200	24.1	0.5	0.2
210	23.9	0.5	0.2
220	23.9	0.5	0.2
230	24.1	0.5	0.2
240	24.4	0.5	0.2
250	24.9	0.5	0.2
260	25.5	0.5	0.2
270	26	0.5	0.2
280	26.6	0.5	0.2
290	27.1	0.5	0.2
300	27.5	0.5	0.2
310	27.8	0.5	0.2
320	27.9	0.5	0.2
330	27.9	0.5	0.2
340	27.7	0.5	0.2
350	27.3	0.5	0.2
360	26.8	0.5	0.2
370	26.4	0.5	0.2
380	25.8	0.5	0.2
390	25.2	0.5	0.2
400	24.7	0.5	0.2
410	24.3	0.5	0.2
420	24	0.5	0.2
430	23.9	0.5	0.2
440	23.9	0.5	0.2
450	24.1	0.5	0.2
460	24.4	0.5	0.2
470	24.9	0.5	0.2
480	25.4	0.5	0.2
490	26	0.5	0.2
500	26.4	0.5	0.2
510	26.9	0.5	0.2
520	27.3	0.5	0.2
530	27.6	0.5	0.2
540	27.7	0.5	0.2
550	27.7	0.5	0.2
560	27.5	0.5	0.2
570	27.2	0.5	0.2
580	26.8	0.5	0.2
590	26.3	0.5	0.2
600	25.7	0.5	0.2
610	25.3	0.5	0.2
620	24.7	0.5	0.2
630	24.4	0.5	0.2
640	24.1	0.5	0.2
650	24	0.5	0.2
660	24	0.5	0.2
670	24.3	0.5	0.2
680	24.6	0.5	0.2
690	25.1	0.5	0.2
700	25.5	0.5	0.2
710	26.1	0.5	0.2
720	26.5	0.5	0.2
730	26.8	0.5	0.2
740	27.2	0.5	0.2
750	27.4	0.5	0.2
760	27.4	0.5	0.2
770	27.4	0.5	0.2
780	27.1	0.5	0.2
790	26.8	0.5	0.2
800	26.4	0.5	0.2
810	26	0.5	0.2
820	25.5	0.5	0.2
830	25	0.5	0.2
840	24.6	0.5	0.2
850	24.3	0.5	0.2
860	24.1	0.5	0.2
870	24	0.5	0.2
880	24.1	0.5	0.2
890	24.4	0.5	0.2
900	24.8	0.5	0.2
910	25.3	0.5	0.2
920	25.7	0.5	0.2
930	26.2	0.5	0.2
940	26.6	0.5	0.2
950	26.9	0.5	0.2
960	27.2	0.5	0.2
970	27.4	0.5	0.2
980	27.4	0.5	0.2
990	27.1	0.5	0.2
1000	26.4	0.5	0.2
1010	26.6	0.5	0.2
1020	26.3	0.5	0.2
1030	25.7	0.5	0.2
1040	25.3	0.5	0.2
1050	24.9	0.5	0.2
1060	24.6	0.5	0.2
1070	24.4	0.5	0.2
1080	24.3	0.5	0.2
1090	24.3	0.5	0.2
1100	24.5	0.5	0.2
1110	24.6	0.5	0.2
1120	25	0.5	0.2
1130	25.5	0.5	0.2
1140	25.9	0.5	0.2
1150	26.3	0.5	0.2
1160	26.6	0.5	0.2
1170	26.8	0.5	0.2
1180	27	0.5	0.2
1190	27.1	0.5	0.2
1200	27	0.5	0.2
1210	26.9	0.5	0.2
